Property Name,Location,Average Size (Squared Feet),Average Rental (MYR),Num of Bedroom,Num of Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
The Haute Condo Gurney Keramat KL,Keramat,1003,2 100,3 Bedrooms,2 Bathrooms
Fully Furnished Setia Sky Residences Klcc Kuala Lumpur 1800sqft 4rooms,KLCC,1800,6 000,4 Bedrooms,3 Bathrooms
FULLY FURNISHED Chymes Condominium Gurney Keramat 2.5km KLCC,Keramat,1290,2 900,3 Bedrooms,2 Bathrooms
The Birch (residensi Sentul Barat) Jln Ipoh,Jalan Ipoh,820,2 500,3 Bedrooms,2 Bathrooms
Majestic Maxim Jalan Cheras Eko Cheras Leisure Mall UCSI 300M MRT Pool,Cheras,820,900,3 Bedrooms,2 Bathrooms
"The Holmes 2 Condo, Bandar Tun Razak, Cheras",Cheras,943,1 700,3 Bedrooms,2 Bathrooms
"Seri Puteri Condo, Cheras, Walking Distance To LRT, KLCC View",Cheras,1123,1 800,3 Bedrooms,3 Bathrooms
"Majestic Maxim, Cheras Connaught, Partially Furnished, New Condo",Cheras,819,1 500,3 Bedrooms,2 Bathrooms
PV2 Setapak Platinum Hill 4R2B2CP P/F TARUC Taman Melati KL East ,Setapak,1500,1 800,4 Bedrooms,2 Bathrooms
Eco Sky Jalan Kuching for Rent,Jalan Ipoh,861,2 300,2 Bedrooms,2 Bathrooms
Season Garden Residence Cheap Rent - Ready Move In,Wangsa Maju,770,1 400,3 Bedrooms,2 Bathrooms
"Menara Menjalara Condo. Fully Furnished, Ready Move In.",Bandar Menjalara,987,1 500,3 Bedrooms,2 Bathrooms
"Majestic Maxim, Cheras Connaught, With Kitchen Cabinet",Cheras,819,1 650,3 Bedrooms,2 Bathrooms
3 Towers Duplex Jalan Ampang KL,KL City,850,2 200,1 Bedroom,2 Bathrooms
"The Reach Titiwangsa, Setapak Titiwangsa, Jalan Pahang",Setapak,1440,2 700,3 Bedrooms,3 Bathrooms
"Saville @ the park ,bangsar south",Bangsar South,1254,2 900,3 Bedrooms,2 Bathrooms
"Platinum OUG Residence, Bukit OUG, Partly Furnished, Walking to LRT",Kuchai Lama,1200,1 350,3 Bedrooms,2 Bathrooms
"Majestic Maxim, Taman Connaught, Cheras, 3 Rooms Condo For Rent",Cheras,819,1 700,3 Bedrooms,2 Bathrooms
"[Furnished/2AC]Wangsa Metroview Condo, LRT Wangsa Maju [KLCC View]",Wangsa Maju,1150,1 600,3 Bedrooms,2 Bathrooms
"Wangsa Metroview Condo, LRT Wangsa Maju [KLCC View] #13",Wangsa Maju,1150,1 300,3 Bedrooms,2 Bathrooms
Suasana Lumayan Condo Bandar Sri Permaisuri Cheras KL,Cheras,1364,1 700,4 Bedrooms,2 Bathrooms
Irama Wangsa Condo Wangsa Maju [FULLY FURNISHED],Wangsa Maju,1206,2 600,3 Bedrooms,2 Bathrooms
"United Point, Condominium @ Segambut Near Kepong Fully Furnished",Kepong,958,2 300,3 Bedrooms,2 Bathrooms
Majestic Maxim 2 Rooms New Condo In Taman Connaught Cheras For Rent,Cheras,650,1 300,2 Bedrooms,2 Bathrooms
Dekat TBS. Sesuai Untuk Lelaki Bujang. Sewa Murah!!,Bandar Tasik Selatan,650,850,3 Bedrooms,2 Bathrooms
Residensi desa satumas near mid valley,Taman Desa,850,1 200,3 Bedrooms,2 Bathrooms
"[Brand New] Ascenda Residence 1200sqft, 2 Carparks, Setapak",Setapak,1200,550 000,3 Bedrooms,2 Bathrooms
"Bukit Pandan 2 , 1076sf P/Furnish KLCC View , Pandan Perdana , Cheras",Cheras,1076,1 500,3 Bedrooms,2 Bathrooms
"Fully Furnished Room @ Secoya Residences, Bangsar South",Pantai,1670,900,5 Bedrooms,4 Bathrooms
"Fully Furnished unit utk disewa, Sentul KLCC Titiwangsa Area 3 Bilik",Sentul,800,1 200,3 Bedrooms,2 Bathrooms
"FULLY FURNISHED 3R2B unit ready for rent @ Sky Awani Residence, Sentul",Sentul,800,1 400,3 Bedrooms,2 Bathrooms
"Aman Satu  Aprt, , Kepong(Grand Offer ,partial furnished💥🔥🌟)",Kepong,837,800,3 Bedrooms,2 Bathrooms
Casa Ria Townhouse Fully Furnished Taman Shamelin Pandan Perdana,Cheras,1060,2 000,3 Bedrooms,2 Bathrooms
Sky Awani 1 Sentul Fully Furnished Unit 3R2B for RENT ! Move in ASAP,Sentul,800,1 300,3 Bedrooms,2 Bathrooms
Anytime Move In Unit @ Sky Awani Sentul. 3R2B Fully Furnished near LRT,Sentul,800,1 300,3 Bedrooms,2 Bathrooms
Next To LRT Station. Walking Distance To KLCC,KL City,805,2 500,3 Bedrooms,2 Bathrooms
Majestic Maxim Corner High Floor Cheras Alam Damai Fully Sewa Ready,Cheras,819,2 200,3 Bedrooms,2 Bathrooms
"Bayu Tasik 2 , 950sf [ Walking to LRT ] 3R2B , Permaisuri , Cheras",Cheras,950,1 500,3 Bedrooms,2 Bathrooms
"Permaisuri Cengal 1008sf [LRT , Mosque] Nice Unit , Cheras",Cheras,1008,1 550,3 Bedrooms,2 Bathrooms
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
"Sunway Velocity ID Design Fully Furnish for Rent,Maluri,Pudu,KL City",Cheras,693,4 000,2 Bedrooms,1 Bathroom
The Haute Condo Gurney Keramat KL,Keramat,1003,2 100,3 Bedrooms,2 Bathrooms
Fully Furnished Setia Sky Residences Klcc Kuala Lumpur 1800sqft 4rooms,KLCC,1800,6 000,4 Bedrooms,3 Bathrooms
FULLY FURNISHED Chymes Condominium Gurney Keramat 2.5km KLCC,Keramat,1290,2 900,3 Bedrooms,2 Bathrooms
The Birch (residensi Sentul Barat) Jln Ipoh,Jalan Ipoh,820,2 500,3 Bedrooms,2 Bathrooms
Majestic Maxim Jalan Cheras Eko Cheras Leisure Mall UCSI 300M MRT Pool,Cheras,820,900,3 Bedrooms,2 Bathrooms
"The Holmes 2 Condo, Bandar Tun Razak, Cheras",Cheras,943,1 700,3 Bedrooms,2 Bathrooms
"Seri Puteri Condo, Cheras, Walking Distance To LRT, KLCC View",Cheras,1123,1 800,3 Bedrooms,3 Bathrooms
"Majestic Maxim, Cheras Connaught, Partially Furnished, New Condo",Cheras,819,1 500,3 Bedrooms,2 Bathrooms
PV2 Setapak Platinum Hill 4R2B2CP P/F TARUC Taman Melati KL East ,Setapak,1500,1 800,4 Bedrooms,2 Bathrooms
Eco Sky Jalan Kuching for Rent,Jalan Ipoh,861,2 300,2 Bedrooms,2 Bathrooms
Season Garden Residence Cheap Rent - Ready Move In,Wangsa Maju,770,1 400,3 Bedrooms,2 Bathrooms
"Menara Menjalara Condo. Fully Furnished, Ready Move In.",Bandar Menjalara,987,1 500,3 Bedrooms,2 Bathrooms
"Majestic Maxim, Cheras Connaught, With Kitchen Cabinet",Cheras,819,1 650,3 Bedrooms,2 Bathrooms
3 Towers Duplex Jalan Ampang KL,KL City,850,2 200,1 Bedroom,2 Bathrooms
"The Reach Titiwangsa, Setapak Titiwangsa, Jalan Pahang",Setapak,1440,2 700,3 Bedrooms,3 Bathrooms
"Saville @ the park ,bangsar south",Bangsar South,1254,2 900,3 Bedrooms,2 Bathrooms
"Platinum OUG Residence, Bukit OUG, Partly Furnished, Walking to LRT",Kuchai Lama,1200,1 350,3 Bedrooms,2 Bathrooms
"Majestic Maxim, Taman Connaught, Cheras, 3 Rooms Condo For Rent",Cheras,819,1 700,3 Bedrooms,2 Bathrooms
"[Furnished/2AC]Wangsa Metroview Condo, LRT Wangsa Maju [KLCC View]",Wangsa Maju,1150,1 600,3 Bedrooms,2 Bathrooms
"Wangsa Metroview Condo, LRT Wangsa Maju [KLCC View] #13",Wangsa Maju,1150,1 300,3 Bedrooms,2 Bathrooms
Suasana Lumayan Condo Bandar Sri Permaisuri Cheras KL,Cheras,1364,1 700,4 Bedrooms,2 Bathrooms
Irama Wangsa Condo Wangsa Maju [FULLY FURNISHED],Wangsa Maju,1206,2 600,3 Bedrooms,2 Bathrooms
"United Point, Condominium @ Segambut Near Kepong Fully Furnished",Kepong,958,2 300,3 Bedrooms,2 Bathrooms
Majestic Maxim 2 Rooms New Condo In Taman Connaught Cheras For Rent,Cheras,650,1 300,2 Bedrooms,2 Bathrooms
Dekat TBS. Sesuai Untuk Lelaki Bujang. Sewa Murah!!,Bandar Tasik Selatan,650,850,3 Bedrooms,2 Bathrooms
Residensi desa satumas near mid valley,Taman Desa,850,1 200,3 Bedrooms,2 Bathrooms
"[Brand New] Ascenda Residence 1200sqft, 2 Carparks, Setapak",Setapak,1200,550 000,3 Bedrooms,2 Bathrooms
"Bukit Pandan 2 , 1076sf P/Furnish KLCC View , Pandan Perdana , Cheras",Cheras,1076,1 500,3 Bedrooms,2 Bathrooms
"Fully Furnished Room @ Secoya Residences, Bangsar South",Pantai,1670,900,5 Bedrooms,4 Bathrooms
"Aman Satu  Aprt, , Kepong(Grand Offer ,partial furnished💥🔥🌟)",Kepong,837,800,3 Bedrooms,2 Bathrooms
"Fully Furnished unit utk disewa, Sentul KLCC Titiwangsa Area 3 Bilik",Sentul,800,1 200,3 Bedrooms,2 Bathrooms
"FULLY FURNISHED 3R2B unit ready for rent @ Sky Awani Residence, Sentul",Sentul,800,1 400,3 Bedrooms,2 Bathrooms
Casa Ria Townhouse Fully Furnished Taman Shamelin Pandan Perdana,Cheras,1060,2 000,3 Bedrooms,2 Bathrooms
Sky Awani 1 Sentul Fully Furnished Unit 3R2B for RENT ! Move in ASAP,Sentul,800,1 300,3 Bedrooms,2 Bathrooms
Anytime Move In Unit @ Sky Awani Sentul. 3R2B Fully Furnished near LRT,Sentul,800,1 300,3 Bedrooms,2 Bathrooms
Next To LRT Station. Walking Distance To KLCC,KL City,805,2 500,3 Bedrooms,2 Bathrooms
Majestic Maxim Corner High Floor Cheras Alam Damai Fully Sewa Ready,Cheras,819,2 200,3 Bedrooms,2 Bathrooms
